feature,address,floorSize,price,sqft,url
SingleFamilyResidence,"1601 3rd Ave Apt 31a, New York, NY 10128","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '1,370'}","$1,875,000","1,370 sqft",https://www.zillow.com/homedetails/1601-3rd-Ave-APT-31A-New-York-NY-10128/60541607_zpid/
SingleFamilyResidence,"295 W 11th St Apt 2a, New York, NY 10014","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '500'}","$845,000",500 sqft,https://www.zillow.com/homedetails/295-W-11th-St-APT-2A-New-York-NY-10014/244831577_zpid/
SingleFamilyResidence,"85 1st Pl Apt 2, Brooklyn, NY 11231","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '1,300'}","$1,750,000","1,300 sqft",https://www.zillow.com/homedetails/85-1st-Pl-APT-2-Brooklyn-NY-11231/55676424_zpid/
SingleFamilyResidence,"425 W End Ave Apt 4a, New York, NY 10024","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '1,550'}","$2,245,000","1,550 sqft",https://www.zillow.com/homedetails/425-W-End-Ave-APT-4A-New-York-NY-10024/72523440_zpid/
SingleFamilyResidence,"80 Knolls Cres Apt 1m, Bronx, NY 10463","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '850'}","$160,689",850 sqft,https://www.zillow.com/homedetails/80-Knolls-Cres-APT-1M-Bronx-NY-10463/2060890897_zpid/
SingleFamilyResidence,"1186 Union St #1, Brooklyn, NY 11225","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '2,760'}","$2,199,000","2,760 sqft",https://www.zillow.com/homedetails/1186-Union-St-1-Brooklyn-NY-11225/2061148610_zpid/
SingleFamilyResidence,"605 Park Ave #12ab, New York, NY 10065","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '2,400'}","$2,950,000","2,400 sqft",https://www.zillow.com/homedetails/605-Park-Ave-12AB-New-York-NY-10065/2060663800_zpid/
SingleFamilyResidence,"76 W 105th St, New York, NY 10025","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '9,214'}","$12,180,000","9,214 sqft",https://www.zillow.com/homedetails/76-W-105th-St-New-York-NY-10025/143173175_zpid/
SingleFamilyResidence,"35-50 77th St Apt 41, Jackson Heights, NY 11372","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '1,300'}","$1,290,000","1,300 sqft",https://www.zillow.com/homedetails/35-50-77th-St-APT-41-Jackson-Heights-NY-11372/219842083_zpid/
SingleFamilyResidence,"1601 3rd Ave Apt 31a, New York, NY 10128","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '1,370'}","$1,875,000","1,370 sqft",https://www.zillow.com/homedetails/1601-3rd-Ave-APT-31A-New-York-NY-10128/60541607_zpid/
SingleFamilyResidence,"295 W 11th St Apt 2a, New York, NY 10014","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '500'}","$845,000",500 sqft,https://www.zillow.com/homedetails/295-W-11th-St-APT-2A-New-York-NY-10014/244831577_zpid/
SingleFamilyResidence,"85 1st Pl Apt 2, Brooklyn, NY 11231","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '1,300'}","$1,750,000","1,300 sqft",https://www.zillow.com/homedetails/85-1st-Pl-APT-2-Brooklyn-NY-11231/55676424_zpid/
SingleFamilyResidence,"425 W End Ave Apt 4a, New York, NY 10024","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '1,550'}","$2,245,000","1,550 sqft",https://www.zillow.com/homedetails/425-W-End-Ave-APT-4A-New-York-NY-10024/72523440_zpid/
SingleFamilyResidence,"80 Knolls Cres Apt 1m, Bronx, NY 10463","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '850'}","$160,689",850 sqft,https://www.zillow.com/homedetails/80-Knolls-Cres-APT-1M-Bronx-NY-10463/2060890897_zpid/
SingleFamilyResidence,"1186 Union St #1, Brooklyn, NY 11225","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '2,760'}","$2,199,000","2,760 sqft",https://www.zillow.com/homedetails/1186-Union-St-1-Brooklyn-NY-11225/2061148610_zpid/
SingleFamilyResidence,"605 Park Ave #12ab, New York, NY 10065","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '2,400'}","$2,950,000","2,400 sqft",https://www.zillow.com/homedetails/605-Park-Ave-12AB-New-York-NY-10065/2060663800_zpid/
SingleFamilyResidence,"76 W 105th St, New York, NY 10025","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '9,214'}","$12,180,000","9,214 sqft",https://www.zillow.com/homedetails/76-W-105th-St-New-York-NY-10025/143173175_zpid/
SingleFamilyResidence,"35-50 77th St Apt 41, Jackson Heights, NY 11372","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '1,300'}","$1,290,000","1,300 sqft",https://www.zillow.com/homedetails/35-50-77th-St-APT-41-Jackson-Heights-NY-11372/219842083_zpid/
SingleFamilyResidence,"1601 3rd Ave Apt 31a, New York, NY 10128","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '1,370'}","$1,875,000","1,370 sqft",https://www.zillow.com/homedetails/1601-3rd-Ave-APT-31A-New-York-NY-10128/60541607_zpid/
SingleFamilyResidence,"295 W 11th St Apt 2a, New York, NY 10014","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '500'}","$845,000",500 sqft,https://www.zillow.com/homedetails/295-W-11th-St-APT-2A-New-York-NY-10014/244831577_zpid/
SingleFamilyResidence,"85 1st Pl Apt 2, Brooklyn, NY 11231","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '1,300'}","$1,750,000","1,300 sqft",https://www.zillow.com/homedetails/85-1st-Pl-APT-2-Brooklyn-NY-11231/55676424_zpid/
SingleFamilyResidence,"425 W End Ave Apt 4a, New York, NY 10024","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '1,550'}","$2,245,000","1,550 sqft",https://www.zillow.com/homedetails/425-W-End-Ave-APT-4A-New-York-NY-10024/72523440_zpid/
SingleFamilyResidence,"80 Knolls Cres Apt 1m, Bronx, NY 10463","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '850'}","$160,689",850 sqft,https://www.zillow.com/homedetails/80-Knolls-Cres-APT-1M-Bronx-NY-10463/2060890897_zpid/
SingleFamilyResidence,"1186 Union St #1, Brooklyn, NY 11225","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '2,760'}","$2,199,000","2,760 sqft",https://www.zillow.com/homedetails/1186-Union-St-1-Brooklyn-NY-11225/2061148610_zpid/
SingleFamilyResidence,"605 Park Ave #12ab, New York, NY 10065","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '2,400'}","$2,950,000","2,400 sqft",https://www.zillow.com/homedetails/605-Park-Ave-12AB-New-York-NY-10065/2060663800_zpid/
SingleFamilyResidence,"76 W 105th St, New York, NY 10025","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '9,214'}","$12,180,000","9,214 sqft",https://www.zillow.com/homedetails/76-W-105th-St-New-York-NY-10025/143173175_zpid/
SingleFamilyResidence,"35-50 77th St Apt 41, Jackson Heights, NY 11372","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '1,300'}","$1,290,000","1,300 sqft",https://www.zillow.com/homedetails/35-50-77th-St-APT-41-Jackson-Heights-NY-11372/219842083_zpid/
SingleFamilyResidence,"1601 3rd Ave Apt 31a, New York, NY 10128","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '1,370'}","$1,875,000","1,370 sqft",https://www.zillow.com/homedetails/1601-3rd-Ave-APT-31A-New-York-NY-10128/60541607_zpid/
SingleFamilyResidence,"295 W 11th St Apt 2a, New York, NY 10014","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '500'}","$845,000",500 sqft,https://www.zillow.com/homedetails/295-W-11th-St-APT-2A-New-York-NY-10014/244831577_zpid/
SingleFamilyResidence,"85 1st Pl Apt 2, Brooklyn, NY 11231","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '1,300'}","$1,750,000","1,300 sqft",https://www.zillow.com/homedetails/85-1st-Pl-APT-2-Brooklyn-NY-11231/55676424_zpid/
SingleFamilyResidence,"425 W End Ave Apt 4a, New York, NY 10024","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '1,550'}","$2,245,000","1,550 sqft",https://www.zillow.com/homedetails/425-W-End-Ave-APT-4A-New-York-NY-10024/72523440_zpid/
SingleFamilyResidence,"80 Knolls Cres Apt 1m, Bronx, NY 10463","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '850'}","$160,689",850 sqft,https://www.zillow.com/homedetails/80-Knolls-Cres-APT-1M-Bronx-NY-10463/2060890897_zpid/
SingleFamilyResidence,"1186 Union St #1, Brooklyn, NY 11225","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '2,760'}","$2,199,000","2,760 sqft",https://www.zillow.com/homedetails/1186-Union-St-1-Brooklyn-NY-11225/2061148610_zpid/
SingleFamilyResidence,"605 Park Ave #12ab, New York, NY 10065","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '2,400'}","$2,950,000","2,400 sqft",https://www.zillow.com/homedetails/605-Park-Ave-12AB-New-York-NY-10065/2060663800_zpid/
SingleFamilyResidence,"76 W 105th St, New York, NY 10025","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '9,214'}","$12,180,000","9,214 sqft",https://www.zillow.com/homedetails/76-W-105th-St-New-York-NY-10025/143173175_zpid/
SingleFamilyResidence,"35-50 77th St Apt 41, Jackson Heights, NY 11372","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '1,300'}","$1,290,000","1,300 sqft",https://www.zillow.com/homedetails/35-50-77th-St-APT-41-Jackson-Heights-NY-11372/219842083_zpid/
SingleFamilyResidence,"1601 3rd Ave Apt 31a, New York, NY 10128","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '1,370'}","$1,875,000","1,370 sqft",https://www.zillow.com/homedetails/1601-3rd-Ave-APT-31A-New-York-NY-10128/60541607_zpid/
SingleFamilyResidence,"295 W 11th St Apt 2a, New York, NY 10014","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '500'}","$845,000",500 sqft,https://www.zillow.com/homedetails/295-W-11th-St-APT-2A-New-York-NY-10014/244831577_zpid/
SingleFamilyResidence,"85 1st Pl Apt 2, Brooklyn, NY 11231","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '1,300'}","$1,750,000","1,300 sqft",https://www.zillow.com/homedetails/85-1st-Pl-APT-2-Brooklyn-NY-11231/55676424_zpid/
SingleFamilyResidence,"425 W End Ave Apt 4a, New York, NY 10024","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '1,550'}","$2,245,000","1,550 sqft",https://www.zillow.com/homedetails/425-W-End-Ave-APT-4A-New-York-NY-10024/72523440_zpid/
SingleFamilyResidence,"80 Knolls Cres Apt 1m, Bronx, NY 10463","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '850'}","$160,689",850 sqft,https://www.zillow.com/homedetails/80-Knolls-Cres-APT-1M-Bronx-NY-10463/2060890897_zpid/
SingleFamilyResidence,"1186 Union St #1, Brooklyn, NY 11225","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '2,760'}","$2,199,000","2,760 sqft",https://www.zillow.com/homedetails/1186-Union-St-1-Brooklyn-NY-11225/2061148610_zpid/
SingleFamilyResidence,"605 Park Ave #12ab, New York, NY 10065","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '2,400'}","$2,950,000","2,400 sqft",https://www.zillow.com/homedetails/605-Park-Ave-12AB-New-York-NY-10065/2060663800_zpid/
SingleFamilyResidence,"76 W 105th St, New York, NY 10025","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '9,214'}","$12,180,000","9,214 sqft",https://www.zillow.com/homedetails/76-W-105th-St-New-York-NY-10025/143173175_zpid/
SingleFamilyResidence,"35-50 77th St Apt 41, Jackson Heights, NY 11372","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '1,300'}","$1,290,000","1,300 sqft",https://www.zillow.com/homedetails/35-50-77th-St-APT-41-Jackson-Heights-NY-11372/219842083_zpid/
SingleFamilyResidence,"1601 3rd Ave Apt 31a, New York, NY 10128","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '1,370'}","$1,875,000","1,370 sqft",https://www.zillow.com/homedetails/1601-3rd-Ave-APT-31A-New-York-NY-10128/60541607_zpid/
SingleFamilyResidence,"295 W 11th St Apt 2a, New York, NY 10014","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '500'}","$845,000",500 sqft,https://www.zillow.com/homedetails/295-W-11th-St-APT-2A-New-York-NY-10014/244831577_zpid/
SingleFamilyResidence,"85 1st Pl Apt 2, Brooklyn, NY 11231","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '1,300'}","$1,750,000","1,300 sqft",https://www.zillow.com/homedetails/85-1st-Pl-APT-2-Brooklyn-NY-11231/55676424_zpid/
SingleFamilyResidence,"425 W End Ave Apt 4a, New York, NY 10024","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '1,550'}","$2,245,000","1,550 sqft",https://www.zillow.com/homedetails/425-W-End-Ave-APT-4A-New-York-NY-10024/72523440_zpid/
SingleFamilyResidence,"80 Knolls Cres Apt 1m, Bronx, NY 10463","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '850'}","$160,689",850 sqft,https://www.zillow.com/homedetails/80-Knolls-Cres-APT-1M-Bronx-NY-10463/2060890897_zpid/
SingleFamilyResidence,"1186 Union St #1, Brooklyn, NY 11225","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '2,760'}","$2,199,000","2,760 sqft",https://www.zillow.com/homedetails/1186-Union-St-1-Brooklyn-NY-11225/2061148610_zpid/
SingleFamilyResidence,"605 Park Ave #12ab, New York, NY 10065","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '2,400'}","$2,950,000","2,400 sqft",https://www.zillow.com/homedetails/605-Park-Ave-12AB-New-York-NY-10065/2060663800_zpid/
SingleFamilyResidence,"76 W 105th St, New York, NY 10025","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '9,214'}","$12,180,000","9,214 sqft",https://www.zillow.com/homedetails/76-W-105th-St-New-York-NY-10025/143173175_zpid/
SingleFamilyResidence,"35-50 77th St Apt 41, Jackson Heights, NY 11372","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '1,300'}","$1,290,000","1,300 sqft",https://www.zillow.com/homedetails/35-50-77th-St-APT-41-Jackson-Heights-NY-11372/219842083_zpid/
SingleFamilyResidence,"1601 3rd Ave Apt 31a, New York, NY 10128","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '1,370'}","$1,875,000","1,370 sqft",https://www.zillow.com/homedetails/1601-3rd-Ave-APT-31A-New-York-NY-10128/60541607_zpid/
SingleFamilyResidence,"295 W 11th St Apt 2a, New York, NY 10014","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '500'}","$845,000",500 sqft,https://www.zillow.com/homedetails/295-W-11th-St-APT-2A-New-York-NY-10014/244831577_zpid/
SingleFamilyResidence,"85 1st Pl Apt 2, Brooklyn, NY 11231","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '1,300'}","$1,750,000","1,300 sqft",https://www.zillow.com/homedetails/85-1st-Pl-APT-2-Brooklyn-NY-11231/55676424_zpid/
SingleFamilyResidence,"425 W End Ave Apt 4a, New York, NY 10024","{'@type': 'QuantitativeValue', '@context': 'http://schema.org', 'value': '1,550'}","$2,245,000","1,550 sqft",https://www.zillow.com/homedetails/425-W-End-Ave-APT-4A-New-York-NY-10024/72523440_zpid/
